date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:04	274643/274643	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202023%2022:36:29%20GMT	https://desafio19dias.com/	C:/Meus%20Sites/s/desafio19dias.com/index.html	(from )
21:32:04	124/124	---M-Z	200	added ('OK')	text/plain	date:Mon,%2023%20Jan%202023%2000:32:08%20GMT	https://desafio19dias.com/robots.txt		(from )
21:32:05	33063/33063	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Jan%202023%2000:32:09%20GMT	https://desafio19dias.com/t.src	C:/Meus%20Sites/s/desafio19dias.com/t.src	(from https://desafio19dias.com/)
21:32:05	94889/94889	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Jan%202023%2010:49:53%20GMT	https://desafio19dias.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Meus%20Sites/s/desafio19dias.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://desafio19dias.com/)
21:32:05	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:10%20GMT	https://desafio19dias.com/feed/	C:/Meus%20Sites/s/desafio19dias.com/feed/index.html	(from https://desafio19dias.com/)
21:32:05	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:10%20GMT	https://desafio19dias.com/comments/feed/	C:/Meus%20Sites/s/desafio19dias.com/comments/feed/index.html	(from https://desafio19dias.com/)
21:32:07	217/217	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Jan%202023%2010:49:53%20GMT	https://desafio19dias.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Meus%20Sites/s/desafio19dias.com/wp-includes/css/classic-themes.min68b3.css	(from https://desafio19dias.com/)
21:32:07	6051/6051	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202023%2005:40:39%20GMT	https://desafio19dias.com/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/Meus%20Sites/s/desafio19dias.com/wp-content/themes/hello-elementor/style.minc141.css	(from https://desafio19dias.com/)
21:32:07	15672/15672	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202023%2005:40:39%20GMT	https://desafio19dias.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/Meus%20Sites/s/desafio19dias.com/wp-content/themes/hello-elementor/theme.minc141.css	(from https://desafio19dias.com/)
21:32:07	19279/19279	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2023:21:00%20GMT	https://desafio19dias.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://desafio19dias.com/)
21:32:07	9934/9934	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2023:21:00%20GMT	https://desafio19dias.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.9.1	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/elementor/assets/css/frontend-legacy.mina560.css	(from https://desafio19dias.com/)
21:32:08	137878/137878	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2023:21:00%20GMT	https://desafio19dias.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.9.1	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/elementor/assets/css/frontend.mina560.css	(from https://desafio19dias.com/)
21:32:08	1451/1451	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202023%2013:50:32%20GMT	https://desafio19dias.com/wp-content/uploads/elementor/css/post-11.css?ver=1674309032	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/elementor/css/post-115bc1.css	(from https://desafio19dias.com/)
21:32:08	405710/405710	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2020:07:58%20GMT	https://desafio19dias.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.9.1	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/elementor-pro/assets/css/frontend.mina560.css	(from https://desafio19dias.com/)
21:32:08	39603/39603	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202023%2013:50:33%20GMT	https://desafio19dias.com/wp-content/uploads/elementor/css/global.css?ver=1674309033	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/elementor/css/global49bb.css	(from https://desafio19dias.com/)
21:32:09	143782/143782	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Jan%202023%2007:31:51%20GMT	https://desafio19dias.com/wp-content/uploads/elementor/css/post-1085.css?ver=1674372711	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/elementor/css/post-10853cd3.css	(from https://desafio19dias.com/)
21:32:09	662/662	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Jan%202023%2004:00:36%20GMT	https://desafio19dias.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://desafio19dias.com/)
21:32:09	57912/57912	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://desafio19dias.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://desafio19dias.com/)
21:32:09	669/669	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://desafio19dias.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Meus%20Sites/s/desafio19dias.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://desafio19dias.com/)
21:32:10	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:14%20GMT	https://desafio19dias.com/wp-json/wp/v2/pages/1085	C:/Meus%20Sites/s/desafio19dias.com/wp-json/wp/v2/pages/1085	(from https://desafio19dias.com/)
21:32:10	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:15%20GMT	https://desafio19dias.com/wp-json/	C:/Meus%20Sites/s/desafio19dias.com/wp-json/index.html	(from https://desafio19dias.com/)
21:32:10	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:15%20GMT	https://desafio19dias.com/xmlrpc.php?rsd	C:/Meus%20Sites/s/desafio19dias.com/xmlrpc0db0.php	(from https://desafio19dias.com/)
21:32:10	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Mon,%2023%20Jan%202023%2000:32:15%20GMT	https://desafio19dias.com/wp-includes/wlwmanifest.xml	C:/Meus%20Sites/s/desafio19dias.com/wp-includes/wlwmanifest.xml	(from https://desafio19dias.com/)
21:32:10	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:15%20GMT	https://desafio19dias.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdesafio19dias.com%2F	C:/Meus%20Sites/s/desafio19dias.com/wp-json/oembed/1.0/embed99f0	(from https://desafio19dias.com/)
21:32:11	2452/2452	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Jan%202023%2000:32:15%20GMT	https://desafio19dias.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdesafio19dias.com%2F&format=xml	C:/Meus%20Sites/s/desafio19dias.com/wp-json/oembed/1.0/embed84e5	(from https://desafio19dias.com/)
21:32:11	830/830	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202023%2008:06:16%20GMT	https://desafio19dias.com/wp-content/uploads/2021/06/cropped-D19-Logo-App2-32x32.png	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/2021/06/cropped-D19-Logo-App2-32x32.png	(from https://desafio19dias.com/)
21:32:11	9204/9204	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202023%2008:06:16%20GMT	https://desafio19dias.com/wp-content/uploads/2021/06/cropped-D19-Logo-App2-192x192.png	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/2021/06/cropped-D19-Logo-App2-192x192.png	(from https://desafio19dias.com/)
21:32:11	8519/8519	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202023%2008:06:16%20GMT	https://desafio19dias.com/wp-content/uploads/2021/06/cropped-D19-Logo-App2-180x180.png	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/2021/06/cropped-D19-Logo-App2-180x180.png	(from https://desafio19dias.com/)
21:32:12	17751/17751	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202023%2008:27:41%20GMT	https://desafio19dias.com/wp-content/uploads/2021/05/compra-segura-hotmart-w1000-300x90.png	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/2021/05/compra-segura-hotmart-w1000-300x90.png	(from https://desafio19dias.com/)
21:32:12	178429/178429	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Jan%202023%2006:32:52%20GMT	https://desafio19dias.com/wp-content/uploads/2023/01/shutterstock_1441211492-Converted-Mockup-01-1-1024x1024-1.jpg	C:/Meus%20Sites/s/desafio19dias.com/wp-content/uploads/2023/01/shutterstock_1441211492-Converted-Mockup-01-1-1024x1024-1.jpg	(from https://desafio19dias.com/)
